"","price","title","units_sold","url","url_image"
"2","60.000","Buzo Buso Hoodie Capota Chompa Capucha Bts Bt21","Nuevo  |  27 vendidos","https://articulo.mercadolibre.com.co/MCO-585976113-buzo-buso-hoodie-capota-chompa-capucha-bts-bt21-_JM?searchVariation=65270103974","https://http2.mlstatic.com/D_NQ_NP_651632-MCO43652209257_102020-O.webp"
"3","114.900","Sweater Buso Hoodie Unbranded - Edición Formula 1 Red Bull","Nuevo  |  98 vendidos","https://articulo.mercadolibre.com.co/MCO-508824289-sweater-buso-hoodie-unbranded-edicion-formula-1-red-bull-_JM?searchVariation=34954980316","https://http2.mlstatic.com/D_NQ_NP_776896-MCO40999205291_032020-O.webp"
"4","74.900","Buzo Hoodie Negro Con Capucha Hombre Mizu","Nuevo  |  17 vendidos","https://articulo.mercadolibre.com.co/MCO-582770042-buzo-hoodie-negro-con-capucha-hombre-mizu-_JM?searchVariation=64105141113","https://http2.mlstatic.com/D_NQ_NP_885650-MCO43690088579_102020-O.webp"
"5","60.000","Buzo Buso Hoodie Capota Chompa Capucha Harry Potter Gafas","Nuevo  |  29 vendidos","https://articulo.mercadolibre.com.co/MCO-585405203-buzo-buso-hoodie-capota-chompa-capucha-harry-potter-gafas-_JM?searchVariation=65070122145","https://http2.mlstatic.com/D_NQ_NP_954352-MCO43621914919_092020-O.webp"
"6","78.900","Hoodie J Balvin Colores","Nuevo  |  87 vendidos","https://articulo.mercadolibre.com.co/MCO-566330617-hoodie-j-balvin-colores-_JM?searchVariation=57924991682","https://http2.mlstatic.com/D_NQ_NP_626595-MCO42186511135_062020-O.webp"
"7","114.900","Sweater Buso Hoodie Unbranded - Edición Formula 1 Ferrari","Nuevo  |  77 vendidos","https://articulo.mercadolibre.com.co/MCO-508824243-sweater-buso-hoodie-unbranded-edicion-formula-1-ferrari-_JM?searchVariation=34954961868","https://http2.mlstatic.com/D_NQ_NP_957123-MCO40999203675_032020-O.webp"
"8","104.900","Sweater Hoodie Buso De Nasa Rocket Space - De Unbranded","Nuevo  |  75 vendidos","https://articulo.mercadolibre.com.co/MCO-473687297-sweater-hoodie-buso-de-nasa-rocket-space-de-unbranded-_JM?searchVariation=24606132080","https://http2.mlstatic.com/D_NQ_NP_604466-MCO31084920317_062019-O.webp"
"9","44.900","Buso,chaqueta,hoodie Superheroes Ironman Niño Marvel Comics","Nuevo  |  28 vendidos","https://articulo.mercadolibre.com.co/MCO-561424930-busochaquetahoodie-superheroes-ironman-nino-marvel-comics-_JM?searchVariation=55188377167","https://http2.mlstatic.com/D_NQ_NP_618629-MCO42339470843_062020-O.webp"
"10","104.900","Sweater Hoodie Buso De Unbranded Street Wear Unbd-00","Nuevo  |  8 vendidos","https://articulo.mercadolibre.com.co/MCO-536260382-sweater-hoodie-buso-de-unbranded-street-wear-unbd-00-_JM?searchVariation=44275222188","https://http2.mlstatic.com/D_NQ_NP_822598-MCO32392476168_102019-O.webp"
"11","60.000","Buzo Buso Hoodie Capota Chompa Capucha Bts Bt21","Nuevo  |  27 vendidos","https://articulo.mercadolibre.com.co/MCO-585976113-buzo-buso-hoodie-capota-chompa-capucha-bts-bt21-_JM?attributes=COLOR_SECONDARY_COLOR:R3JpcyB5IFZpbm90aW50bw==,SIZE:TCAoSG9tYnJlKQ==","https://http2.mlstatic.com/D_NQ_NP_651632-MCO43652209257_102020-O.webp"
